trade_date,stock_name,vol
20241101,贵州茅台,32283.92
20241104,贵州茅台,29092.92
20241105,贵州茅台,45640.47
20241106,贵州茅台,37631.43
20241107,贵州茅台,74738.72
20241108,贵州茅台,60771.2
20241111,贵州茅台,43853.65
20241112,贵州茅台,49222.66
20241113,贵州茅台,29125.26
20241114,贵州茅台,29248.14
20241115,贵州茅台,33761.12
20241118,贵州茅台,27092.19
20241119,贵州茅台,33266.43
20241120,贵州茅台,21344.55
20241121,贵州茅台,18261.79
20241122,贵州茅台,33436.11
20241125,贵州茅台,33185.56
20241126,贵州茅台,25744.79
20241127,贵州茅台,25934.17
20241128,贵州茅台,23952.03
20241129,贵州茅台,36088.1
20241202,贵州茅台,26819.54
20241203,贵州茅台,24806.62
20241204,贵州茅台,23923.89
20241205,贵州茅台,16141.47
20241206,贵州茅台,32039.69
20241209,贵州茅台,19799.86
20241210,贵州茅台,60312.1
20241211,贵州茅台,29671.12
20241212,贵州茅台,41936.52
20241213,贵州茅台,49511.97
20241216,贵州茅台,32537.1
20241217,贵州茅台,54171.63
20241218,贵州茅台,41162.26
20241219,贵州茅台,24809.32
20241220,贵州茅台,28157.74
20241223,贵州茅台,21602.69
20241224,贵州茅台,22104.92
20241225,贵州茅台,17123.39
20241226,贵州茅台,18286.51
20241227,贵州茅台,20759.32
20241230,贵州茅台,25129.82
20241231,贵州茅台,39354.45
