stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
601838.SH,20240102,14.394749999999998,14.458499999999999,14.24175,14.254499999999998,11.26,-0.08,-0.7105,222991.36,251099.763,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240103,14.254499999999998,14.331,14.19075,14.3055,11.18,0.04,0.3578,132416.19,148050.349,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240104,14.3055,14.343749999999998,14.08875,14.165249999999999,11.22,-0.11,-0.9804,195440.92,217139.852,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240105,14.19075,14.943,14.126999999999999,14.547749999999999,11.11,0.3,2.7003,577212.1,660342.897,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240108,14.458499999999999,14.866499999999998,14.458499999999999,14.52225,11.41,-0.02,-0.1753,349867.82,400343.087,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240109,14.483999999999998,14.841,14.36925,14.764499999999998,11.39,0.19,1.6681,321804.35,369125.114,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240110,14.72625,14.841,14.636999999999999,14.777249999999999,11.58,0.01,0.0864,237277.4,274901.091,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240111,14.75175,14.904749999999998,14.713499999999998,14.79,11.59,0.01,0.0863,213886.56,248461.111,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240112,14.75175,15.210749999999999,14.738999999999999,15.019499999999999,11.6,0.18,1.5517,267114.6,314210.093,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240115,15.019499999999999,15.210749999999999,14.98125,15.1725,11.78,0.12,1.0187,270765.32,320919.806,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240116,15.134249999999998,15.46575,15.108749999999999,15.427499999999998,11.9,0.2,1.6807,368715.99,443510.961,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240117,15.452999999999998,15.707999999999998,15.3765,15.3765,12.1,-0.04,-0.3306,408488.86,498105.727,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240118,15.197999999999999,15.427499999999998,14.892,15.36375,12.06,-0.01,-0.0829,466962.12,554279.945,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240119,15.2745,15.414749999999998,15.147,15.325499999999998,12.05,-0.03,-0.249,206881.27,248283.787,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240122,15.350999999999997,15.46575,15.045,15.05775,12.02,-0.21,-1.7471,347892.82,417633.333,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240123,15.045,15.2745,14.904749999999998,15.210749999999999,11.81,0.12,1.0161,247226.93,292378.97,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240124,15.287249999999998,15.46575,15.0705,15.440249999999999,11.93,0.18,1.5088,328439.03,393239.746,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240125,15.46575,15.631499999999999,15.414749999999998,15.516749999999998,12.11,0.06,0.4955,329804.86,401210.931,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240126,15.656999999999998,16.0905,15.554999999999998,15.809999999999999,12.17,0.23,1.8899,409497.12,507839.539,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240129,16.32,16.32,15.6825,16.00125,12.4,0.15,1.2097,490099.06,615823.673,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240130,15.873749999999998,16.12875,15.69525,15.848249999999998,12.55,-0.12,-0.9562,276126.76,344481.36,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240131,15.809999999999999,16.1925,15.746249999999998,15.975749999999998,12.43,0.1,0.8045,324833.88,407192.426,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240201,15.89925,16.077749999999998,15.82275,15.950249999999999,12.53,-0.02,-0.1596,239984.16,300597.791,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240202,15.950249999999999,16.0395,15.516749999999998,15.848249999999998,12.51,-0.08,-0.6395,307343.33,382345.79,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240205,15.7845,15.963,15.606,15.8355,12.43,-0.01,-0.0805,346583.4,430062.505,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240206,15.8355,16.052249999999997,15.644249999999998,16.052249999999997,12.42,0.17,1.3688,331548.06,413248.621,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240207,16.052249999999997,16.052249999999997,15.6825,15.92475,12.59,-0.1,-0.7943,370456.93,459886.887,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240208,15.911999999999999,15.911999999999999,15.59325,15.746249999999998,12.49,-0.14,-1.1209,327721.1,404966.198,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240219,15.873749999999998,16.371,15.758999999999999,16.371,12.35,0.49,3.9676,392705.15,495191.86,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240220,16.307249999999996,16.447499999999998,16.23075,16.422,12.84,0.04,0.3115,190283.33,244029.906,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240221,16.38375,17.32725,16.358249999999998,17.02125,12.88,0.47,3.6491,393705.78,524157.611,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240222,16.9575,17.40375,16.94475,17.40375,13.35,0.3,2.2472,276114.66,372404.451,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240223,17.40375,17.939249999999998,17.365499999999997,17.467499999999998,13.65,0.05,0.3663,334172.02,462970.638,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240226,17.4165,17.454749999999997,16.906499999999998,16.9575,13.7,-0.4,-2.9197,282227.82,378538.538,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240227,16.94475,17.0595,16.677,16.8555,13.3,-0.08,-0.6015,239139.06,315903.563,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240228,16.86825,16.893749999999997,16.625999999999998,16.715249999999997,13.22,-0.11,-0.8321,230543.79,303309.888,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240229,16.68975,16.86825,16.600499999999997,16.86825,13.11,0.12,0.9153,198217.7,260332.44,1.275,601838,成都银行,四川,银行,20180131
601838.SH,20240301,16.779,16.881,16.702499999999997,16.7535,13.23,-0.09,-0.6803,159314.24,209459.57,1.275,601838,成都银行,四川,银行,20180131
