Open,High,Low,Close,Volume,stock_name
18.487499999999997,18.5385,17.747999999999998,18.156,386646.07,成都银行
18.0795,18.9975,18.054,18.882749999999998,593652.23,成都银行
18.768,19.073999999999998,18.258,18.3855,543515.45,成都银行
18.47475,18.844499999999996,18.3855,18.57675,559444.52,成都银行
18.564,19.163249999999998,18.512999999999998,18.87,479115.08,成都银行
19.023,19.18875,18.83175,18.857249999999997,393945.19,成都银行
18.857249999999997,18.87,18.602249999999998,18.768,246593.58,成都银行
18.780749999999998,19.0995,18.67875,19.048499999999997,276716.0,成都银行
19.061249999999998,19.354499999999998,19.061249999999998,19.31625,224352.06,成都银行
19.31625,19.685999999999996,19.278,19.57125,280381.5,成都银行
19.57125,20.13225,19.482,20.106749999999998,295915.71,成都银行
20.13225,20.234249999999996,19.889999999999997,20.093999999999998,224380.48,成都银行
20.093999999999998,20.629499999999997,20.081249999999997,20.501999999999995,302590.02,成都银行
20.591249999999995,20.705999999999996,20.25975,20.604,355999.6,成都银行
20.591249999999995,20.654999999999998,20.145,20.43825,339748.71,成都银行
20.349,20.51475,19.979249999999997,20.145,382887.65,成都银行
20.1195,20.553,20.0175,20.476499999999998,249545.81,成都银行
20.450999999999997,20.61675,20.234249999999996,20.31075,284195.43,成都银行
20.20875,20.387249999999998,20.093999999999998,20.195999999999998,147781.9,成都银行
20.13225,20.36175,20.004749999999998,20.043,156854.37,成都银行
20.081249999999997,20.374499999999998,20.0175,20.336249999999996,168327.53,成都银行
20.387249999999998,20.48925,20.15775,20.31075,144711.81,成都银行
20.298,20.5275,20.183249999999997,20.285249999999998,181059.35,成都银行
20.272499999999997,20.387249999999998,19.915499999999998,20.043,168886.1,成都银行
20.043,20.234249999999996,19.979249999999997,20.145,157640.68,成都银行
20.13225,20.20875,19.545749999999998,19.737,300294.44,成都银行
19.800749999999997,20.004749999999998,19.6605,19.9665,213055.92,成都银行
19.9665,19.991999999999997,19.532999999999998,19.596749999999997,244104.18,成都银行
19.6095,19.7625,19.5075,19.596749999999997,124757.26,成都银行
19.6605,19.7625,19.584,19.724249999999998,137808.59,成都银行
19.724249999999998,19.7625,19.252499999999998,19.29075,194585.38,成都银行
19.29075,19.41825,18.9975,19.36725,202786.58,成都银行
19.354499999999998,19.482,19.073999999999998,19.150499999999997,133517.06,成都银行
19.137749999999997,19.737,18.9975,19.634999999999998,215809.34,成都银行
19.57125,19.62225,18.882749999999998,19.073999999999998,301844.97,成都银行
19.061249999999998,19.21425,18.8955,19.023,139425.88,成都银行
19.048499999999997,19.328999999999997,19.023,19.18875,141175.87,成都银行
19.21425,19.29075,19.048499999999997,19.048499999999997,134126.68,成都银行
19.061249999999998,19.21425,18.98475,19.073999999999998,111267.9,成都银行
19.08675,19.08675,18.780749999999998,18.857249999999997,171370.04,成都银行
18.87148,19.100998,18.858728999999997,18.973488,128271.99,成都银行
18.8955,19.073999999999998,18.83175,18.8955,121523.76,成都银行
18.8955,19.4565,18.844499999999996,19.252499999999998,229671.17,成都银行
19.3035,19.634999999999998,19.11225,19.36725,196199.05,成都银行
19.39275,19.991999999999997,19.38,19.9665,258064.32,成都银行
19.9665,20.285249999999998,19.92825,20.20875,207585.41,成都银行
20.2215,20.31075,19.737,19.902749999999997,171054.0,成都银行
19.915499999999998,19.979249999999997,19.685999999999996,19.7625,200614.04,成都银行
19.924992,19.992672,19.15344,19.261727999999998,383398.7,成都银行
19.275264,19.681344,19.261727999999998,19.424159999999997,241787.12,成都银行
19.424159999999997,20.100959999999997,19.370016,20.087424,228991.12,成都银行
20.073888,20.182176,19.870848,19.938527999999998,114901.7,成都银行
20.073888,20.114496,19.545983999999997,19.708416,179081.01,成都银行
19.69488,20.16864,19.667807999999997,20.16864,211510.75,成都银行
20.046816,20.290464,20.046816,20.195712,153841.05,成都银行
20.222783999999997,20.412288,19.979135999999997,20.060351999999998,144566.08,成都银行
20.03328,20.16864,19.992672,20.128031999999997,118178.99,成都银行
20.128031999999997,20.276927999999998,19.857312,20.263392,148451.25,成都银行
20.155103999999998,20.249856,19.992672,20.209248,126377.9,成都银行
20.128031999999997,20.195712,19.69488,19.83024,165559.15,成都银行
19.816703999999998,20.304,19.762559999999997,20.046816,248331.0,成都银行
20.046816,20.398751999999998,20.006207999999997,20.128031999999997,169726.16,成都银行
20.155103999999998,20.344607999999997,19.83024,19.9656,161659.4,成都银行
20.019744,20.155103999999998,19.640735999999997,19.843776,180220.89,成都银行
19.789631999999997,20.114496,19.654272,20.060351999999998,158823.63,成都银行
20.046816,20.100959999999997,19.586592,19.749024,202620.94,成都银行
19.708416,19.83024,19.613664,19.762559999999997,160942.94,成都银行
19.667807999999997,19.979135999999997,19.55952,19.667807999999997,153223.26,成都银行
19.600127999999998,19.83024,19.518912,19.762559999999997,122938.51,成都银行
19.776096,19.83024,19.424159999999997,19.437696,137080.0,成都银行
19.451231999999997,19.573056,19.031616,19.207583999999997,139356.46,成都银行
19.207583999999997,19.397088,19.166976,19.22112,101760.2,成都银行
19.234656,19.275264,19.01808,19.112831999999997,87813.0,成都银行
19.166976,19.342944,19.085759999999997,19.166976,115058.44,成都银行
19.166976,19.22112,19.072224,19.072224,68046.0,成都银行
19.126368,19.35648,19.072224,19.207583999999997,104917.73,成都银行
19.275264,19.451231999999997,19.166976,19.207583999999997,110376.36,成都银行
19.180512,19.329407999999997,19.126368,19.302335999999997,193186.92,成都银行
19.248192,19.708416,19.180512,19.69488,249820.75,成都银行
19.721951999999998,20.50704,19.721951999999998,20.50704,370825.57,成都银行
