stock_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,adj_factor,symbol,stock_name,area,industry,list_date
601398.SH,12.11912,12.20856,12.05204,12.186200000000001,5.43,0.02,0.3683,2010650.32,1091725.781,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.163840000000002,12.298000000000002,12.163840000000002,12.298000000000002,5.45,0.05,0.9174,2479370.06,1360484.56,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.298000000000002,12.34272,12.253280000000002,12.34272,5.5,0.02,0.3636,2133766.62,1175329.569,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.32036,12.365080000000003,12.253280000000002,12.32036,5.52,-0.01,-0.1812,2248273.78,1239151.678,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.32036,12.476880000000001,12.298000000000002,12.454520000000002,5.51,0.06,1.0889,3317211.47,1839293.338,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.432716,12.544521000000001,12.410355,12.52216,5.57,0.03,0.5386,2924741.47,1633949.389,2.2361,601398,工商银行,北京,银行,20061027
601398.SH,12.521600000000001,12.65576,12.49924,12.58868,5.6,0.03,0.5357,2524705.34,1420409.162,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.566320000000001,12.767560000000001,12.521600000000001,12.745200000000002,5.63,0.07,1.2433,3156535.8,1788966.261,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.722840000000001,12.78992,12.633400000000002,12.745200000000002,5.7,0.0,0.0,2685533.36,1525746.42,2.236,601398,工商银行,北京,银行,20061027
601398.SH,12.722840000000001,13.0806,12.70048,13.013520000000002,5.7,0.12,2.1053,3202846.26,1854826.332,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.013520000000002,13.371280000000002,12.99116,13.348920000000001,5.82,0.15,2.5773,3770405.33,2234061.03,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.32656,13.371280000000002,13.0806,13.17004,5.97,-0.08,-1.34,2743718.79,1619018.146,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.17004,13.371280000000002,13.147680000000001,13.32656,5.89,0.07,1.1885,2618980.11,1556909.212,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.32656,13.416,12.99116,13.03588,5.96,-0.13,-2.1812,3993119.82,2341435.825,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.013520000000002,13.281840000000003,12.99116,13.17004,5.83,0.06,1.0292,2883648.82,1699967.172,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.17004,13.281840000000003,13.0806,13.281840000000003,5.89,0.05,0.8489,2955343.19,1746477.244,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.281840000000003,13.438360000000001,13.281840000000003,13.416,5.94,0.06,1.0101,2876301.33,1720936.653,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.416,13.416,13.102960000000001,13.25948,6.0,-0.07,-1.1667,3767984.73,2229396.343,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.23712,13.6396,13.214760000000002,13.594880000000002,5.93,0.15,2.5295,4009672.81,2418946.581,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.61724,13.952640000000002,13.55016,13.8632,6.08,0.12,1.9737,4289582.6,2640918.177,2.236,601398,工商银行,北京,银行,20061027
601398.SH,13.933904,14.051588999999998,13.722071,13.863292999999999,5.89,0.0,0.0,5035591.21,2966243.649,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.839756,13.980978,13.745607999999999,13.910366999999999,5.89,0.02,0.3396,3218991.85,1898464.088,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.88683,13.933904,13.792682000000001,13.910366999999999,5.91,0.0,0.0,2553864.18,1505808.655,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.88683,13.933904,13.698534,13.910366999999999,5.91,0.0,0.0,3601439.72,2112440.788,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.839756,13.863292999999999,13.557312,13.745607999999999,5.91,-0.07,-1.1844,3230606.57,1879506.552,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.698534,14.263421999999998,13.674997,14.145736999999999,5.84,0.17,2.911,5081438.09,3034821.327,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.1222,14.381107,14.098663,14.263421999999998,6.01,0.05,0.8319,3184497.85,1929595.59,2.3537,601398,工商银行,北京,银行,20061027
