ts_code,name
023349.OF,泓德裕和纯债D
023003.OF,兴证全球盈鑫多元配置三个月持有A
022770.OF,兴业中证A500指数增强A
022676.OF,富国中证A500指数增强A
022683.OF,平安盈弘6个月持有C
022682.OF,平安盈弘6个月持有A
023210.OF,国泰君安君得盈D
022715.OF,贝莱德中证A500指数增强A
022771.OF,兴业中证A500指数增强C
022745.OF,博道中证A500指数增强A
023148.OF,兴业上证180联接A
022716.OF,贝莱德中证A500指数增强C
023265.OF,景顺长城智能生活C
023077.OF,诺德安锦利率债
560750.SH,A500ETF申万菱信
022565.OF,银华华丰三个月持有A
022566.OF,银华华丰三个月持有C
022594.OF,金鹰安荣配置两年持有A
023022.OF,交银中证A500指数A
159397.SZ,信用债ETF广发
023023.OF,交银中证A500指数C
563860.SH,A500ETF海富通
159336.SZ,央企红利50ETF
023179.OF,华泰柏瑞上证180联接A
019921.OF,万家中证2000指数增强C
022068.OF,建信鑫源90天持有C
022725.OF,博时上证科创板芯片联接A
023055.OF,富国上证科创板50成份指数A
159398.SZ,信用债ETF天弘
022067.OF,建信鑫源90天持有A
022446.OF,前海开源周期精选A
023056.OF,富国上证科创板50成份指数C
023037.OF,中欧资源精选C
022398.OF,大成添鑫C
023163.OF,银河上证国有企业红利联接C
022447.OF,前海开源周期精选C
023036.OF,中欧资源精选A
022397.OF,大成添鑫A
019920.OF,万家中证2000指数增强A
023180.OF,华泰柏瑞上证180联接C
022726.OF,博时上证科创板芯片联接C
020428.OF,华安先进制造A
020429.OF,华安先进制造C
023042.OF,民生加银中证A500指数A
023162.OF,银河上证国有企业红利联接A
023181.OF,华泰柏瑞上证180联接I
022867.OF,博道沪深300指数量化增强C
023043.OF,民生加银中证A500指数C
022866.OF,博道沪深300指数量化增强A
023252.OF,天弘上证180联接A
023271.OF,华富5年恒定久期国开债E
023231.OF,南方上证180联接C
023253.OF,天弘上证180联接C
022720.OF,广发中证国新港股通央企红利联接C
023286.OF,前海开源人工智能C
004371.OF,景顺长城中证科技传媒通信150ETF联接C
023230.OF,南方上证180联接A
588870.SH,科创50指数ETF
023193.OF,景顺长城产业趋势C
022719.OF,广发中证国新港股通央企红利联接A
022686.OF,广发中证A500指数增强A
022762.OF,长城中证A500指数A
023234.OF,银华上证180联接A
021418.OF,泰康红利低波联接C
021668.OF,申万菱信智华稳进配置3个月持有A
021415.OF,泰康红利低波联接A
023236.OF,银华上证180联接I
022334.OF,广发产业甄选A
022687.OF,广发中证A500指数增强C
022335.OF,广发产业甄选C
022763.OF,长城中证A500指数C
530800.SH,上证180ETF基金
023235.OF,银华上证180联接C
021669.OF,申万菱信智华稳进配置3个月持有C
023068.OF,鹏华添泽120天滚动持有A
021582.OF,贝莱德和悦利率债C
022328.OF,宏利高端装备C
563210.SH,专精特新ETF
023198.OF,招商资管中证500指数增强C
511190.SH,信用债ETF
022841.OF,招商华证价值优选50指数C
023069.OF,鹏华添泽120天滚动持有C
159396.SZ,信用债ETF博时
511200.SH,信用债ETF基金
511110.SH,公司债ETF易方达
018383.OF,招商上证综合指数增强A
021581.OF,贝莱德和悦利率债A
022327.OF,宏利高端装备A
520580.SH,新兴亚洲ETF
023192.OF,招商资管中证500指数增强A
159395.SZ,信用债ETF大成
018384.OF,招商上证综合指数增强C
022840.OF,招商华证价值优选50指数A
588730.SH,科创人工智能ETF
588760.SH,人工智能ETF科创
588950.SH,科创50ETF景顺
023274.OF,万家安弘D
023200.OF,鹏华上证180指数C
561880.SH,A100ETF基金
023029.OF,富达任远稳健三个月持有C
023199.OF,鹏华上证180指数A
530280.SH,上证180ETF指数基金
520550.SH,港股红利低波ETF
023028.OF,富达任远稳健三个月持有A
023176.OF,中邮沪港深精选C
022600.OF,博时沪深300联接C
512080.SH,A500ETF中金
022694.OF,恒生前海港股通价值C
022200.OF,金鹰稳利配置三个月持有C
022693.OF,恒生前海港股通价值A
023175.OF,中邮中小盘灵活配置C
023074.OF,国泰君安中证港股通高股息投资指数C
022115.OF,鑫元致远量化选股A
023034.OF,中欧恒生科技指数A
023141.OF,国泰金龙债券D
023073.OF,国泰君安中证港股通高股息投资指数A
023095.OF,中邮新思路C
022199.OF,金鹰稳利配置三个月持有A
023035.OF,中欧恒生科技指数C
022750.OF,南方中证港股通汽车产业主题指数A
022116.OF,鑫元致远量化选股C
022751.OF,南方中证港股通汽车产业主题指数C
022599.OF,博时沪深300联接A
023168.OF,创金合信怡久回报E
023241.OF,安信长鑫增强E
180605.SZ,易方达华威市场REIT
511070.SH,上证公司债ETF
508087.SH,国泰君安济南能源供热REIT
023167.OF,浦银安盛盛世精选E
022977.OF,平安利率债E
023021.OF,中邮信息产业C
023189.OF,平安添润E
159370.SZ,创50ETF工银
023096.OF,中邮消费升级C
023188.OF,景顺长城量化新动力C
022353.OF,华泰紫金中债0-3年政金债A
019511.OF,华宝中证A500联接C
023169.OF,兴证资管国企红利优选A
019510.OF,华宝中证A500联接A
023194.OF,平安鼎信E
023054.OF,南方宝祥E
023170.OF,兴证资管国企红利优选C
159379.SZ,A500ETF融通
022354.OF,华泰紫金中债0-3年政金债C
023081.OF,南方致远E
530080.SH,180指数ETF
023049.OF,南方宝顺E
022860.OF,中银沪深300指数C
022612.OF,国泰利添120天滚动持有C
023161.OF,博时鑫泰D
023177.OF,安信灵活配置C
023178.OF,安信价值精选C
023048.OF,南方通利E
023047.OF,南方达元E
022611.OF,国泰利添120天滚动持有A
022859.OF,中银沪深300指数A
023165.OF,博时转债增强E
588930.SH,科创板人工智能ETF
023156.OF,博时中债5-10年农发行E
000459.OF,英大领先回报B
023164.OF,招商安和D
022292.OF,前海开源优选领航A
022901.OF,英大领先回报C
023166.OF,兴证全球恒嘉30天持有E
021553.OF,广发景裕纯债C
021552.OF,广发景裕纯债A
022293.OF,前海开源优选领航C
023110.OF,安信中证一带一路C
159378.SZ,通用航空ETF
023080.OF,长信利保E
023139.OF,南方ESG纯债C
023079.OF,南方泽元C
023150.OF,鹏扬平衡养老目标三年持有Y
023102.OF,招商和惠养老2045五年持有Y
588790.SH,科创AIETF
022665.OF,鹏华中证A500联接A
022706.OF,银河中证A500指数增强A
022666.OF,鹏华中证A500联接C
022790.OF,苏新中证500指数增强A
159323.SZ,港股通汽车ETF
022675.OF,中欧中证A500指数增强C
022707.OF,银河中证A500指数增强C
530580.SH,180ETF基金
588810.SH,科创芯片ETF富国
022674.OF,中欧中证A500指数增强A
159380.SZ,A500ETF东财
023084.OF,汇安核心资产E
530300.SH,上证180ETF华泰柏瑞
159376.SZ,A500ETF指数基金
022791.OF,苏新中证500指数增强C
159375.SZ,创业板50ETF国泰
022704.OF,银河科技成长A
023134.OF,泰康招享E
022705.OF,银河科技成长C
022029.OF,京管泰富科技驱动C
023086.OF,浦银安盛经济带崛起E
023098.OF,安信消费医药主题C
023092.OF,招商招坤纯债D
023085.OF,招商招旭纯债E
022749.OF,平安港股通红利优选C
023094.OF,安信中国制造2025沪港深C
022028.OF,京管泰富科技驱动A
022748.OF,平安港股通红利优选A
023097.OF,安信比较优势C
023091.OF,鑫元合丰纯债D
023046.OF,南方骏元中短期利率债C
023017.OF,南方丰元信用增强D
022649.OF,博时月月兴30天持有C
021638.OF,景顺长城臻品三个月持有A
022648.OF,博时月月兴30天持有A
022978.OF,博时臻选楚汇三个月持有B
023103.OF,圆信永丰医药健康C
023008.OF,兴华智选成长三个月持有C
023007.OF,兴华智选成长三个月持有A
021639.OF,景顺长城臻品三个月持有C
023101.OF,国寿安保智慧生活C
022786.OF,大摩稳丰利率债A
023078.OF,西部利得多策略优选A
510040.SH,上证180ETF指数
022728.OF,中银上证科创板50成份指数A
023016.OF,路博迈CFETS0-5年期气候变化债券指数
022787.OF,大摩稳丰利率债C
022627.OF,博时中证A100指数A
023019.OF,南方臻元C
560190.SH,公用事业ETF
022729.OF,中银上证科创板50成份指数C
022691.OF,华安医药生物C
021731.OF,富达低碳成长C
021730.OF,富达低碳成长A
022690.OF,华安医药生物A
022628.OF,博时中证A100指数C
023072.OF,招商招悦纯债D
530680.SH,上证180指数ETF基金
023018.OF,南方恩元C
022670.OF,招商中证A500指数增强A
022420.OF,中欧优享C
022419.OF,中欧优享A
022474.OF,兴证全球中证A500指数增强C
021372.OF,天弘价值驱动A
022551.OF,平安瑞利6个月持有C
022853.OF,中航优选领航C
022852.OF,中航优选领航A
021749.OF,易方达创业板成长联接A
022671.OF,招商中证A500指数增强C
022659.OF,平安惠泰C
021750.OF,易方达创业板成长联接C
023013.OF,南方安睿C
021038.OF,银华沪深300价值联接A
022336.OF,京管泰富创新动力A
022873.OF,华夏中证全指公用事业联接C
022869.OF,华夏中证全指公用事业联接A
022700.OF,睿远港股通核心价值A
022550.OF,平安瑞利6个月持有A
022994.OF,中信保诚稳健D
022396.OF,国泰君安稳健添利C
021800.OF,嘉实中证A100指数增强C
022343.OF,长盛中证红利低波动100指数C
022495.OF,嘉实红利精选A
021799.OF,嘉实中证A100指数增强A
023014.OF,南方安康C
022993.OF,中信保诚稳瑞D
022342.OF,长盛中证红利低波动100指数A
022496.OF,嘉实红利精选C
023011.OF,中信保诚货币C
022395.OF,国泰君安稳健添利A
022337.OF,京管泰富创新动力C
023024.OF,鹏华创业板50联接I
022473.OF,兴证全球中证A500指数增强A
508078.SH,中航易商仓储物流REIT
022701.OF,睿远港股通核心价值C
021039.OF,银华沪深300价值联接C
022638.OF,东方招益C
022637.OF,东方招益A
021373.OF,天弘价值驱动C
022970.OF,鹏华安泽D
588820.SH,科创200ETF基金
022989.OF,鹏华丰收A
022513.OF,人保中证800指数增强A
022990.OF,鹏华丰收C
022807.OF,创金合信恒睿90天持有A
022889.OF,广发汇宜一年定开C
023025.OF,南方升元中短期利率债D
023015.OF,招商招华纯债D
022808.OF,创金合信恒睿90天持有C
023063.OF,国投瑞银和宜E
023020.OF,南方臻利3个月定开E
022991.OF,鹏华丰收D
022514.OF,人保中证800指数增强C
022619.OF,永赢安和30天持有A
022007.OF,国泰利民安悦30天持有A
022689.OF,申万菱信中证A500指数增强C
511160.SH,国债ETF东财
022688.OF,申万菱信中证A500指数增强A
022620.OF,永赢安和30天持有C
022878.OF,长城久稳E
022008.OF,国泰利民安悦30天持有C
023012.OF,南方信元C
560380.SH,A100ETF南方
022876.OF,南方光元C
022877.OF,交银丰晟收益E
022616.OF,路博迈悦航30天持有C
022615.OF,路博迈悦航30天持有A
022761.OF,鹏华绿色
022988.OF,鹏华中证500ETF联接I
