ts_code,name
021448.OF,华宝成长策略C
021430.OF,富国投资级信用债E
021438.OF,兴业裕恒C
021235.OF,摩根瑞欣利率债A
021422.OF,工银尊享短债D
021298.OF,中欧北证50成份指数A
020841.OF,汇添富稳益60天持有B
021236.OF,摩根瑞欣利率债C
021461.OF,国投瑞银中证上游C
021447.OF,工银薪金D
021299.OF,中欧北证50成份指数C
021406.OF,华夏沃利D
020932.OF,南方润元纯债E
020552.OF,兴业添盈
159321.SZ,黄金股票ETF
021411.OF,长盛货币D
021407.OF,东方红益丰纯债B
021075.OF,华夏中证沪深港黄金产业股票联接C
021074.OF,华夏中证沪深港黄金产业股票联接A
159597.SZ,创业板成长ETF易方达
021291.OF,鹏华货币E
018825.OF,安信平衡养老目标三年持有
020665.OF,万家稳丰6个月持有A
159528.SZ,国企改革ETF
020476.OF,泰康半导体量化选股A
159525.SZ,红利低波ETF
016272.OF,华泰保兴吉年红A
020724.OF,建信开元金享6个月持有A
159557.SZ,恒生医疗指数ETF
020666.OF,万家稳丰6个月持有C
020725.OF,建信开元金享6个月持有C
019828.OF,鹏华国证石油天然气联接C
021141.OF,易方达中证汽车零部件主题联接C
016273.OF,华泰保兴吉年红C
019700.OF,南方稳福120天持有A
019701.OF,南方稳福120天持有C
017262.OF,大成成长领航一年持有C
020477.OF,泰康半导体量化选股C
021140.OF,易方达中证汽车零部件主题联接A
020857.OF,嘉实多益A
020858.OF,嘉实多益C
017261.OF,大成成长领航一年持有A
020691.OF,博时中证全指通信设备指数A
020692.OF,博时中证全指通信设备指数C
019827.OF,鹏华国证石油天然气联接A
021408.OF,兴业天融C
021403.OF,鹏华丰实D
021147.OF,财通华臻量化选股A
021148.OF,财通华臻量化选股C
563180.SH,高股息ETF
588450.SH,科创50ETF增强
562700.SH,汽车零部件ETF
021402.OF,银华顺璟6个月定开D
020443.OF,易米远见价值一年定开C
019347.OF,富国匠心成长A
020815.OF,圆信永丰瑞盈A
021193.OF,中银中高等级E
020494.OF,富达悦享红利优选C
021311.OF,长信纯债壹号E
021251.OF,华夏中证全指医疗器械联接C
020442.OF,易米远见价值一年定开A
020553.OF,南方半导体产业A
510720.SH,红利国企ETF
020358.OF,东方红慧鑫甄选6个月持有A
021395.OF,创金合信尊丰纯债C
021250.OF,华夏中证全指医疗器械联接A
021396.OF,创金合信尊丰纯债D
020493.OF,富达悦享红利优选A
020554.OF,南方半导体产业C
020359.OF,东方红慧鑫甄选6个月持有C
021310.OF,长信稳益C
019348.OF,富国匠心成长C
020832.OF,圆信永丰瑞盈C
019086.OF,工银价值精选C
021374.OF,创金合信恒兴中短债D
021066.OF,泰康中债0-3年政策性金融债C
020330.OF,大成聚鑫C
019402.OF,财通资管中证1000指数增强A
020055.OF,永赢悦享A
019403.OF,财通资管中证1000指数增强C
019056.OF,百嘉百川30天持有纯债A
019715.OF,嘉实双季欣享6个月持有A
021379.OF,创金合信恒利超短债D
020056.OF,永赢悦享C
021065.OF,泰康中债0-3年政策性金融债A
021384.OF,渤海汇金量化成长C
021215.OF,嘉实中证A50联接C
159306.SZ,汽车零件ETF
021214.OF,嘉实中证A50联接A
019085.OF,工银价值精选A
019057.OF,百嘉百川30天持有纯债C
020329.OF,大成聚鑫A
005149.OF,华泰保兴货币C
019716.OF,嘉实双季欣享6个月持有C
021328.OF,富国中证细分机械设备产业主题联接C
021099.OF,博时中证红利联接A
021359.OF,大成中证A50联接E
020961.OF,方正富邦瑞福6个月持有C
021355.OF,汇添富增强收益D
020952.OF,方正富邦瑞福6个月持有A
020955.OF,银华盛泓A
021381.OF,华宝量化对冲D
021100.OF,博时中证红利联接C
020846.OF,人保泰睿积极配置三个月持有A
021387.OF,永赢泰利B
020170.OF,万家CFETS0-3年期山东省国有企业信用债精选A
021327.OF,富国中证细分机械设备产业主题联接A
020956.OF,银华盛泓C
021068.OF,鹏华双季乐180天持有A
021044.OF,国泰中证香港内地国有企业联接A
021045.OF,国泰中证香港内地国有企业联接C
021069.OF,鹏华双季乐180天持有C
020071.OF,太平先进制造A
020072.OF,太平先进制造C
020236.OF,施罗德中国动力A
021371.OF,华宝1-3年国开债C
020847.OF,人保泰睿积极配置三个月持有C
020237.OF,施罗德中国动力C
021263.OF,百嘉百臻利率债C
021380.OF,创金合信季安盈3个月持有E
020171.OF,万家CFETS0-3年期山东省国有企业信用债精选C
021262.OF,百嘉百臻利率债A
021239.OF,农银金泽60天持有A
021240.OF,农银金泽60天持有C
019295.OF,博时匠心优选A
562340.SH,中证500成长ETF
019427.OF,中银数字经济C
020915.OF,鹏扬稳鑫120天滚动持有A
021254.OF,富国沪深300ESG基准联接A
020805.OF,国投瑞银和嘉A
021281.OF,富国国证疫苗与生物科技联接C
021105.OF,银华0-5年政金债
021255.OF,富国沪深300ESG基准联接C
020916.OF,鹏扬稳鑫120天滚动持有C
021280.OF,富国国证疫苗与生物科技联接A
019426.OF,中银数字经济A
019296.OF,博时匠心优选C
019326.OF,申万菱信乐研A
020917.OF,鹏扬稳鑫120天滚动持有E
020660.OF,国泰泰合三个月定开
020806.OF,国投瑞银和嘉C
019327.OF,申万菱信乐研C
513820.SH,港股红利ETF基金
019725.OF,鑫元鑫选安悦3个月持有A
517400.SH,黄金股票ETF
019230.OF,广发全球稳健配置A
019081.OF,山证资管中债1-3年国开行A
510950.SH,上证50ETF指数
019233.OF,广发全球稳健配置美元C
021312.OF,华宝安享C
020728.OF,兴业稳瑞90天持有C
019232.OF,广发全球稳健配置美元A
019082.OF,山证资管中债1-3年国开行C
020727.OF,兴业稳瑞90天持有A
019231.OF,广发全球稳健配置C
019726.OF,鑫元鑫选安悦3个月持有C
020984.OF,博时国证消费电子主题指数C
020866.OF,华安恒生港股通中国央企红利联接A
020876.OF,中欧景气精选A
021206.OF,易方达中证A50联接A
020907.OF,中航瑞尚利率债A
019985.OF,蜂巢趋势臻选A
021212.OF,大成中证A50联接A
021183.OF,平安中证A50联接A
019986.OF,蜂巢趋势臻选C
020877.OF,中欧景气精选C
020456.OF,平安上证红利低波动指数A
021211.OF,富国中证A50联接C
020908.OF,中航瑞尚利率债C
021210.OF,富国中证A50联接A
021207.OF,易方达中证A50联接C
020311.OF,华宝积极配置三个月持有A
021222.OF,华泰柏瑞中证A50联接A
021352.OF,博时富华纯债C
020312.OF,华宝积极配置三个月持有C
021033.OF,易方达国证新能源电池联接A
021223.OF,华泰柏瑞中证A50联接C
021034.OF,易方达国证新能源电池联接C
019877.OF,广发均衡成长C
021213.OF,大成中证A50联接C
020983.OF,博时国证消费电子主题指数A
019876.OF,广发均衡成长A
021184.OF,平安中证A50联接C
020457.OF,平安上证红利低波动指数C
020867.OF,华安恒生港股通中国央企红利联接C
020941.OF,安信青享纯债A
021322.OF,百嘉百兴C
020999.OF,南方中证机器人指数I
020578.OF,国富恒兴C
020942.OF,安信青享纯债C
003294.OF,嘉实新趋势C
017000.OF,格林港股通臻选A
021053.OF,南方恒生生物科技联接I
017001.OF,格林港股通臻选C
021344.OF,东财中证芯片产业联接E
021356.OF,信澳新目标C
020577.OF,国富恒兴A
021002.OF,南方中证全指房地产ETF联接I
021115.OF,南方北证50成份I
021116.OF,南方中证1000ETF联接I
020939.OF,永赢安裕120天滚动持有A
562570.SH,信创ETF
561760.SH,油气ETF博时
021313.OF,景顺长城沪港深精选C
020796.OF,诺安泰鑫一年D
021337.OF,国联恒泰纯债B
021030.OF,汇添富国证港股通创新药联接A
020940.OF,永赢安裕120天滚动持有C
562260.SH,汽车配件ETF
020146.OF,西部利得沣淳三个月定开债C
021031.OF,汇添富国证港股通创新药联接C
020145.OF,西部利得沣淳三个月定开债A
159599.SZ,芯片ETF基金
010441.OF,东方红启兴三年持有B
021331.OF,中金金信C
021277.OF,广发全球精选人民币C
021286.OF,广发安盈E
020719.OF,天弘工盈三个月持有C
020718.OF,天弘工盈三个月持有A
020937.OF,长江90天持有A
020000.OF,国泰优质领航C
020938.OF,长江90天持有C
019999.OF,国泰优质领航A
159310.SZ,芯片产业ETF
020619.OF,汇添富投资级信用债指数A
021307.OF,永赢宏泰E
020774.OF,国寿安保产业升级C
021144.OF,易方达高等级信用债D
021217.OF,华宝中证A50联接C
021216.OF,华宝中证A50联接A
020620.OF,汇添富投资级信用债指数C
020084.OF,易方达纯债D
019712.OF,博时稳合一年持有A
019713.OF,博时稳合一年持有C
020775.OF,国寿安保产业升级A
019673.OF,汇丰晋信慧鑫六个月持有A
159526.SZ,机器人指数ETF
021098.OF,南方中证创新药产业联接C
020855.OF,泉果泰然30天持有A
020856.OF,泉果泰然30天持有C
021097.OF,南方中证创新药产业联接A
021290.OF,安信宝利F
021143.OF,华夏中证港股通央企红利联接C
159307.SZ,红利低波100ETF
019674.OF,汇丰晋信慧鑫六个月持有C
021142.OF,华夏中证港股通央企红利联接A
180602.SZ,中金印力消费REIT
020699.OF,国泰君安科创板量化选股C
021120.OF,中银月月鑫30天滚动持有C
020698.OF,国泰君安科创板量化选股A
021119.OF,中银月月鑫30天滚动持有A
588890.SH,科创芯片ETF南方
021259.OF,富国中债0-2年国开行E
020764.OF,兴证全球中债0-3年政策性金融债A
021258.OF,富国中债-1-3年国开债E
021265.OF,兴业聚利C
020948.OF,大成景朔利率债A
020949.OF,大成景朔利率债C
020899.OF,天弘中证全指通信设备指数A
019837.OF,大摩恒利C
019836.OF,大摩恒利A
020765.OF,兴证全球中债0-3年政策性金融债C
021220.OF,工银纯债D
020900.OF,天弘中证全指通信设备指数C
021228.OF,万家年年恒荣定开D
020818.OF,鹏扬永利90天持有A
021221.OF,富国中债1-5年农发行E
020819.OF,鹏扬永利90天持有C
562820.SH,集成电路ETF
021218.OF,中邮核心优势C
020892.OF,易方达安丰六个月持有C
021155.OF,平安惠锦纯债C
021160.OF,天弘中证沪港深物联网主题联接C
020891.OF,易方达安丰六个月持有A
021249.OF,国泰惠丰纯债C
021226.OF,汇丰晋信平稳增利中短债D
021159.OF,天弘中证沪港深物联网主题联接A
021071.OF,恒生前海恒荣纯债C
020540.OF,银华安泰C
513210.SH,恒生ETF易方达
020897.OF,永赢璟利A
021124.OF,华安安浦E
020519.OF,富国瑞夏纯债A
513170.SH,恒生央企ETF
020539.OF,银华安泰A
021070.OF,恒生前海恒荣纯债A
021129.OF,东财中证银行E
016538.OF,国泰聚瑞纯债C
020520.OF,富国瑞夏纯债C
020898.OF,永赢璟利C
021072.OF,华夏中证智选500成长创新策略联接A
021073.OF,华夏中证智选500成长创新策略联接C
020651.OF,博时国证粮食产业C
020944.OF,鹏扬中债0-3年政策性金融债C
021151.OF,广发景秀纯债C
020868.OF,华夏沪深300ESG基准联接A
020869.OF,华夏沪深300ESG基准联接C
020943.OF,鹏扬中债0-3年政策性金融债A
020650.OF,博时国证粮食产业A
560520.SH,红利低波100ETF基金
021006.OF,南方中证全指医疗保健设备与服务联接I
159582.SZ,半导体产业ETF
021057.OF,南方中证新能源ETF联接I
021117.OF,南方中证科创创业50ETF联接I
021059.OF,南方中证500ETF联接I
021054.OF,永赢众利C
021055.OF,永赢伟益C
021056.OF,南方标普中国A股大盘红利低波50联接I
021177.OF,摩根中证A50联接A
021178.OF,摩根中证A50联接C
021103.OF,国寿安保沪深300ETF联接C
159561.SZ,德国ETF
019190.OF,华商品质价值C
020331.OF,红塔红土医药精选A
019189.OF,华商品质价值A
017602.OF,华夏国企创新A
021081.OF,鹏华中证车联网主题联接C
020332.OF,红塔红土医药精选C
021080.OF,鹏华中证车联网主题联接A
020743.OF,广发恒生消费联接A
020677.OF,大成元辰招利C
006426.OF,汇添富全球移动互联美元现汇
020676.OF,大成元辰招利A
017603.OF,华夏国企创新C
020744.OF,广发恒生消费联接C
020843.OF,联博智选C
021164.OF,天弘恒新D
020926.OF,长信稳兴三个月定开E
020842.OF,联博智选A
563280.SH,A50增强ETF
021125.OF,博时超大盘ETF联接C
560690.SH,电信ETF基金
020875.OF,中欧量化驱动C
560850.SH,信创50ETF
020816.OF,湘财红利量化选股A
021152.OF,华泰紫金季季享定开D
021163.OF,鑫元中短债D
017871.OF,汇添富添富通C
021114.OF,博时裕康纯债C
020817.OF,湘财红利量化选股C
020778.OF,太平福安稳健养老一年持有Y
020839.OF,南方中证半导体产业A
021139.OF,上银政策性金融债C
021165.OF,浙商惠裕纯债D
020840.OF,南方中证半导体产业C
021123.OF,华夏养老2060五年持有A
021138.OF,上银中债1-3年国开债C
021130.OF,信澳鑫安C
021118.OF,宏利京元宝E
021134.OF,宏利活期友E
021133.OF,宏利货币E
021169.OF,信澳慧理财C
019865.OF,浦银安盛高端装备C
019864.OF,浦银安盛高端装备A
021121.OF,中欧盈选稳健6个月持有D
019576.OF,汇添富稳兴回报A
021122.OF,中欧盈选稳健6个月持有E
018834.OF,易方达汇享稳健养老一年持有A
019577.OF,汇添富稳兴回报C
021156.OF,华安中债1-5年国开行债券联接E
021157.OF,华安中债1-3年政策金融债E
018938.OF,财通医药健康C
020851.OF,东方享悦90天滚动持有C
021135.OF,创金合信货币D
021032.OF,南方创业板ETF联接I
021037.OF,南方7-10年国开债I
019139.OF,中银睿泽稳健3个月持有A
021076.OF,诺德安鸿纯债C
021023.OF,南方恒生ETF联接I
021158.OF,华安鼎益E
159545.SZ,恒生红利低波ETF
020850.OF,东方享悦90天滚动持有A
018937.OF,财通医药健康A
019140.OF,中银睿泽稳健3个月持有C
019560.OF,交银稳悦回报C
562560.SH,信息技术ETF
021154.OF,鹏华3个月中短债E
021029.OF,南方中证全指证券公司ETF联接I
019559.OF,交银稳悦回报A
021021.OF,南方中证申万有色金属ETF联接I
021048.OF,景顺长城养老目标日期2035三年持有Y
018929.OF,蜂巢丰旭C
018928.OF,蜂巢丰旭A
159553.SZ,2000ETF增强
019435.OF,易米鑫选品质A
020872.OF,华夏创业板指数E
019340.OF,西部利得研究精选A
020981.OF,华安国证机器人产业指数A
020438.OF,光大鼎利90天滚动持有A
019499.OF,兴证全球创新优势C
020672.OF,招商中证红利低波动100指数A
020075.OF,财通资管创新成长A
020781.OF,平安富时中国国企开放共赢联接A
020871.OF,华夏创业板指数C
021046.OF,平安港股通红利精选A
020524.OF,工银稳健丰盈30天滚动持有A
019733.OF,中泰福瑞稳健养老一年持有
019341.OF,西部利得研究精选C
019643.OF,农银国企优选C
020439.OF,光大鼎利90天滚动持有C
020982.OF,华安国证机器人产业指数C
020633.OF,汇添富中证电信主题联接C
020870.OF,华夏创业板指数A
020782.OF,平安富时中国国企开放共赢联接C
020525.OF,工银稳健丰盈30天滚动持有C
021126.OF,华安鼎丰E
020632.OF,汇添富中证电信主题联接A
019498.OF,兴证全球创新优势A
019878.OF,永赢瑞弘12个月持有C
014375.OF,永赢瑞弘12个月持有A
021047.OF,平安港股通红利精选C
019436.OF,易米鑫选品质C
020673.OF,招商中证红利低波动100指数C
019642.OF,农银国企优选A
020076.OF,财通资管创新成长C
019829.OF,华夏数字产业A
021067.OF,泰康瑞坤纯债A
018908.OF,华宝远景A
021096.OF,融通增益D
020903.OF,广发中证工程机械联接A
020259.OF,嘉实稳恒90天持有A
020550.OF,上银慧诚利60天持有A
020904.OF,广发中证工程机械联接C
020551.OF,上银慧诚利60天持有C
019830.OF,华夏数字产业C
020260.OF,嘉实稳恒90天持有C
018909.OF,华宝远景C
021042.OF,天弘弘利C
021043.OF,天弘弘利E
020541.OF,浙商汇金中债0-3年政策性金融债A
019176.OF,汇添富添添乐双鑫A
020886.OF,交银中债0-3年政策性金融债A
019737.OF,宝盈纳斯达克100指数C
020893.OF,景顺长城国证机器人联接A
020250.OF,中银中证央企红利50C
019738.OF,宝盈纳斯达克100指数A美元现汇
020768.OF,中信保诚国企红利量化选股A
019736.OF,宝盈纳斯达克100指数A
019739.OF,宝盈纳斯达克100指数C美元现汇
020251.OF,中银中证央企红利50A
020542.OF,浙商汇金中债0-3年政策性金融债C
021062.OF,宏利市值优选C
020894.OF,景顺长城国证机器人联接C
021040.OF,华富恒欣纯债E
019177.OF,汇添富添添乐双鑫C
020769.OF,中信保诚国企红利量化选股C
020887.OF,交银中债0-3年政策性金融债C
021001.OF,平安惠利纯债C
019466.OF,信澳鑫裕6个月持有A
019467.OF,信澳鑫裕6个月持有C
021018.OF,交银稳鑫短债E
020954.OF,中欧稳悦120天滚动持有C
021003.OF,平安惠利纯债E
020953.OF,中欧稳悦120天滚动持有A
020148.OF,兴银价值平衡C
019333.OF,华富产业智选C
020147.OF,兴银价值平衡A
019336.OF,万家国企动力A
020978.OF,广发汇荣三个月定开C
020295.OF,易方达中债0-3年政策性金融债A
020658.OF,信澳红利智选C
021041.OF,博时裕利纯债C
020213.OF,银华晶鑫A
511130.SH,30年国债指数ETF
019665.OF,景顺长城保守养老目标一年持有A
019337.OF,万家国企动力C
020296.OF,易方达中债0-3年政策性金融债C
020657.OF,信澳红利智选A
020214.OF,银华晶鑫C
019332.OF,华富产业智选A
018835.OF,广发成长启航A
020679.OF,广发集盛C
020751.OF,华夏安悦A
020510.OF,金鹰科技致远A
021022.OF,南方沪深300ETF联接I
021017.OF,广发景宏C
020761.OF,汇添富丰泰纯债A
020271.OF,万家创业板综合联接A
020115.OF,鹏扬中证国有企业红利联接A
019531.OF,南方中证光伏产业A
020762.OF,汇添富丰泰纯债C
020511.OF,金鹰科技致远C
020116.OF,鹏扬中证国有企业红利联接C
021000.OF,南方纳斯达克100I
021024.OF,德邦景颐D
020272.OF,万家创业板综合联接C
021025.OF,德邦景颐E
019532.OF,南方中证光伏产业C
020568.OF,泓德智选启航C
020678.OF,广发集盛A
019594.OF,嘉实稳宁纯债A
020567.OF,泓德智选启航A
019595.OF,嘉实稳宁纯债C
019159.OF,中欧产业领航A
019815.OF,民生加银国证2000指数增强C
021026.OF,德邦短债D
020669.OF,国投瑞银弘信回报A
020324.OF,博时中证基建工程C
019984.OF,南华同业存单指数7天持有
019160.OF,中欧产业领航C
019814.OF,民生加银国证2000指数增强A
020752.OF,华夏安悦C
018902.OF,招商回报优选C
021004.OF,南方上海金联接I
021005.OF,南方富时中国国企开放共赢联接I
020323.OF,博时中证基建工程A
019135.OF,海富通欣盈6个月持有C
019134.OF,海富通欣盈6个月持有A
018836.OF,广发成长启航C
020824.OF,汇泉安阳纯债C
018901.OF,招商回报优选A
021013.OF,南方中证银行ETF联接I
020823.OF,汇泉安阳纯债A
019662.OF,易方达兴利180天持有A
562580.SH,可选消费ETF
020812.OF,富国盛利增强C
020998.OF,南方臻利3个月定开C
019663.OF,易方达兴利180天持有C
020099.OF,万家惠诚回报平衡一年持有C
020991.OF,西部利得合赢E
020811.OF,富国盛利增强A
020098.OF,万家惠诚回报平衡一年持有A
020157.OF,交银中证红利低波动100指数C
560150.SH,红利低波ETF泰康
508026.SH,嘉实中国电建清洁能源REIT
020965.OF,博时民泽纯债C
020654.OF,恒生前海兴泰C
021019.OF,广发汇兴3个月定开C
020653.OF,恒生前海兴泰A
020156.OF,交银中证红利低波动100指数A
020969.OF,中信保诚全球商品主题C
020310.OF,海富通中债0-2年政策性金融债C
020992.OF,华安中债7-10年国开行E
020717.OF,景顺长城60天持有C
020722.OF,国寿安保数字经济A
020716.OF,景顺长城60天持有A
020995.OF,景顺长城景兴信用纯债F
020309.OF,海富通中债0-2年政策性金融债A
021011.OF,上银中债5-10年国开债C
020825.OF,景顺长城景泰丰利F
159589.SZ,红利100ETF
020694.OF,光大超短债D
020990.OF,财通财通宝C
021012.OF,招商招享纯债D
020723.OF,国寿安保数字经济C
020788.OF,国寿安保泰裕C
020248.OF,惠升中债7-10年政金债指数
020968.OF,国投瑞银顺昌纯债C
021010.OF,信澳安盛纯债C
021014.OF,信澳悦享利率债C
020731.OF,国投瑞银启源利率债
020977.OF,银华长荣C
020974.OF,鑫元鸿利C
019998.OF,长信优势行业C
021009.OF,信澳瑞享利率债C
019997.OF,长信优势行业A
020607.OF,南方中证机器人指数A
020787.OF,国寿安保泰裕A
020608.OF,南方中证机器人指数C
019916.OF,富国医药创新A
020729.OF,华安中证全指软件开发联接A
020963.OF,中信保诚景华D
508033.SH,易方达深高速REIT
019798.OF,富安达睿选增利A
020334.OF,华夏聚安优选三个月持有C
019647.OF,华安双债添利E
018882.OF,海富通ESG领先A
018808.OF,财通同业存单指数7天持有
020602.OF,易方达中证红利低波动联接A
020662.OF,中加科技创新C
020629.OF,汇添富上证科创板芯片联接C
020715.OF,华安上证科创板50成份联接C
020686.OF,南方上证科创板新材料联接C
020730.OF,华安中证全指软件开发联接C
018883.OF,海富通ESG领先C
019917.OF,富国医药创新C
020740.OF,鹏华稳益180天持有C
020685.OF,南方上证科创板新材料联接A
020628.OF,汇添富上证科创板芯片联接A
020603.OF,易方达中证红利低波动联接C
020928.OF,博时富腾纯债C
020714.OF,华安上证科创板50成份联接A
019799.OF,富安达睿选增利C
020987.OF,东财中证高端装备制造指数增强E
020333.OF,华夏聚安优选三个月持有A
020661.OF,中加科技创新A
020739.OF,鹏华稳益180天持有A
020706.OF,蜂巢添汇纯债E
020970.OF,益民品质升级C
020861.OF,万家悦兴3个月定开D
020929.OF,国投瑞银新活力定开D
020883.OF,南方月月享30天滚动持有E
020786.OF,安信长鑫增强C
020785.OF,安信长鑫增强A
020945.OF,工银如意D
020664.OF,华安季季鑫90天持有C
020663.OF,华安季季鑫90天持有A
020959.OF,摩根纯债丰利D
020962.OF,中信保诚双盈D
020674.OF,招商中债0-3年政策性金融债A
020957.OF,中银全球策略C
020971.OF,中银货币D
020675.OF,招商中债0-3年政策性金融债C
159596.SZ,A50ETF华宝
016783.OF,平安养老目标日期2050三年持有
020964.OF,安信企业价值优选C
562890.SH,中证A50指数ETF
020637.OF,华泰紫金价值远见18个月持有A
020638.OF,华泰紫金价值远见18个月持有C
159586.SZ,计算机ETF南方
020931.OF,富国景利纯债C
159591.SZ,中证A50ETF
018821.OF,银华新材料A
563350.SH,中证A50ETF
020960.OF,博时聚润纯债C
561230.SH,中证A50ETF基金
159595.SZ,中证A50ETF基金
020472.OF,长城0-5年政金债C
019046.OF,申万菱信安泰裕利纯债C
020471.OF,长城0-5年政金债A
159592.SZ,A50ETF基金
018822.OF,银华新材料C
563080.SH,中证A50ETF易方达
018826.OF,兴银创盈一年定开
019045.OF,申万菱信安泰裕利纯债A
020958.OF,平安惠涌纯债C
159581.SZ,红利ETF基金
020547.OF,鹏扬季季鑫90天滚动持有E
020838.OF,华夏创业板中盘200联接C
020639.OF,广发中证半导体材料设备联接A
020621.OF,华夏中证香港内地国有企业联接A
020753.OF,华夏中证智选300成长创新策略联接A
020548.OF,长盛悦鑫60天持有纯债A
020827.OF,交银货币D
020545.OF,鹏扬季季鑫90天滚动持有A
019734.OF,华富恒享纯债A
020183.OF,博时中证传媒指数A
020184.OF,博时中证传媒指数C
020859.OF,华富泰合平衡3个月持有A
020837.OF,华夏创业板中盘200联接A
020826.OF,交银货币C
020622.OF,华夏中证香港内地国有企业联接C
560350.SH,中证A50ETF指数基金
020546.OF,鹏扬季季鑫90天滚动持有C
019735.OF,华富恒享纯债C
020860.OF,华富泰合平衡3个月持有C
020640.OF,广发中证半导体材料设备联接C
020754.OF,华夏中证智选300成长创新策略联接C
020549.OF,长盛悦鑫60天持有纯债C
020709.OF,同泰恒盛D
020484.OF,中欧中证全指软件开发指数A
020888.OF,南方天天利C
020187.OF,上银国企红利C
020400.OF,国泰利恒30天持有C
020889.OF,融通通灿C
020186.OF,上银国企红利A
020584.OF,农银金季三个月持有C
020583.OF,农银金季三个月持有A
020399.OF,国泰利恒30天持有A
019691.OF,华商产业机遇C
020485.OF,中欧中证全指软件开发指数C
019690.OF,华商产业机遇A
020921.OF,博时富乐纯债C
159593.SZ,中证A50指数ETF
020820.OF,华夏短债D
020446.OF,中加睿盈纯债
019964.OF,华商同业存单指数7天持有
020797.OF,诺安稳固收益C
020930.OF,平安鼎信C
020634.OF,汇添富恒生生物科技联接A
020635.OF,汇添富恒生生物科技联接C
018801.OF,海富通优势驱动C
020852.OF,中银证券现金管家C
018800.OF,海富通优势驱动A
020702.OF,南华瑞享纯债C
020874.OF,天弘上证科创板50成份指数C
018855.OF,东方锦合一年定开
019537.OF,国新国证鑫和利率债A
019530.OF,南方中证国新央企科技引领联接C
020920.OF,天弘同利F
020873.OF,天弘上证科创板50成份指数A
020701.OF,南华瑞享纯债A
020610.OF,泰康悦享90天持有C
020609.OF,泰康悦享90天持有A
019529.OF,南方中证国新央企科技引领联接A
019538.OF,国新国证鑫和利率债C
018688.OF,鑫元鑫选稳健养老目标一年持有A
020756.OF,南方养老目标日期2055五年持有Y
020720.OF,国寿安保高端装备A
019729.OF,华夏国企红利A
019730.OF,华夏国企红利C
020721.OF,国寿安保高端装备C
012306.OF,浦银安盛养老目标日期2050五年持有
020469.OF,长城半导体产业A
020890.OF,银华添润D
020470.OF,长城半导体产业C
019697.OF,汇添富鑫享添利六个月持有B
020151.OF,中信保诚景气优选A
020570.OF,建信宁远90天持有C
020880.OF,天弘齐享D
020152.OF,中信保诚景气优选C
020795.OF,易方达养老目标日期2055五年持有Y
020569.OF,建信宁远90天持有A
020648.OF,诺安中小盘精选C
020798.OF,万家信用恒利D
020649.OF,诺安中小盘精选D
020700.OF,广发中债农发债总指数D
020776.OF,天弘安益D
020711.OF,同泰恒兴纯债D
020757.OF,南方养老目标日期2060五年持有Y
020710.OF,同泰恒利纯债D
020777.OF,天弘中债3-5年金融债C
020735.OF,东财中证有色金属指数增强E
020791.OF,天弘中债1-5年政策金融债C
020192.OF,南方晖元6个月持有E
020306.OF,信澳星煜智选C
020305.OF,信澳星煜智选A
019494.OF,易方达中证国新央企科技引领联接C
019493.OF,易方达中证国新央企科技引领联接A
018898.OF,易方达悦和稳健A
018899.OF,易方达悦和稳健C
020742.OF,交银裕坤纯债C
020784.OF,国泰瑞和纯债C
159568.SZ,港股互联网ETF
020750.OF,工银科创板50ETF联接E
159565.SZ,汽车零部件ETF
180601.SZ,华夏华润商业REIT
019079.OF,国富招瑞优选A
019773.OF,东方红智享三年持有A
019774.OF,东方红智享三年持有C
020712.OF,华安三菱日联日经225联接A
020726.OF,建信灵活配置C
513910.SH,港股央企红利ETF
020713.OF,华安三菱日联日经225联接C
020627.OF,广发安泽短债D
020741.OF,华泰保兴安悦C
019080.OF,国富招瑞优选C
018713.OF,浦银安盛招睿精选3个月持有C
019218.OF,永赢腾利C
020288.OF,永赢红利慧选C
019952.OF,平安价值远见A
019217.OF,永赢腾利A
019937.OF,华安恒生互联网科技业联接C
018712.OF,浦银安盛招睿精选3个月持有A
020287.OF,永赢红利慧选A
020447.OF,鹏华双季红180天持有A
018703.OF,南方誉民稳健一年持有A
020168.OF,广发信远回报A
020667.OF,富国创业板中盘200联接A
019283.OF,南方睿阳稳健添利6个月持有A
019343.OF,富国价值发现C
020169.OF,广发信远回报C
019393.OF,嘉实匠心严选C
020327.OF,华泰保兴尊益利率债6个月持有A
019392.OF,嘉实匠心严选A
020565.OF,华夏鼎昭利率债A
020572.OF,万家稳航90天持有A
020328.OF,华泰保兴尊益利率债6个月持有C
019953.OF,平安价值远见C
018704.OF,南方誉民稳健一年持有C
020235.OF,海富通瑞鑫30天持有C
020448.OF,鹏华双季红180天持有C
020734.OF,中欧预见养老目标2045三年持有Y
020175.OF,国泰君安稳债增利A
019284.OF,南方睿阳稳健添利6个月持有C
020668.OF,富国创业板中盘200联接C
018705.OF,财通鼎欣量化选股18个月定开
020234.OF,海富通瑞鑫30天持有A
020655.OF,浦银安盛普安利率债
019342.OF,富国价值发现A
020745.OF,中欧预见平衡养老三年持有Y
020566.OF,华夏鼎昭利率债C
019936.OF,华安恒生互联网科技业联接A
020573.OF,万家稳航90天持有C
020176.OF,国泰君安稳债增利C
020537.OF,建信开元瑞享3个月持有C
020536.OF,建信开元瑞享3个月持有A
159577.SZ,美国50ETF
